다이렉트 인덱싱  체크리스트,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,투자성향,,,,,,,Factor,,,,,,,
3171,5,5,1,5,1,2,5,0,0,1,0,1,1,1,0
3172,3,4,1,2,1,1,4,1,1,0,0,1,1,0,1
3173,1,4,2,1,3,1,4,0,0,1,1,1,1,1,1
3174,4,4,5,1,4,3,2,1,0,0,0,1,0,0,1
3175,3,1,1,4,3,3,5,1,0,0,0,0,0,1,0
3176,3,5,3,3,4,3,5,1,0,0,1,0,1,1,0
3177,5,4,5,1,2,2,4,1,0,1,0,0,0,1,1
3178,4,1,3,4,1,5,1,1,0,0,0,1,1,0,0
3179,4,2,2,2,2,3,3,1,0,1,0,0,1,1,0
3180,1,2,1,2,1,3,2,1,1,1,0,0,1,1,0
3181,4,5,2,1,2,2,1,0,1,0,1,1,1,0,1
3182,4,3,3,1,3,3,5,1,1,0,1,0,0,0,0
3183,5,3,4,5,1,1,5,1,1,0,0,1,0,0,1
3184,5,4,4,1,1,5,2,1,0,1,1,1,1,0,1
3185,5,2,2,2,3,3,4,0,1,0,0,1,0,0,1
3186,5,4,1,3,3,1,5,1,1,1,1,0,0,0,1
3187,4,3,1,3,1,4,1,1,1,1,0,1,1,0,0
3188,3,4,5,1,2,1,2,1,0,0,0,0,1,0,0
3189,2,4,1,5,3,5,2,0,0,0,0,0,1,0,0
3190,3,5,2,5,5,1,3,1,1,1,1,0,1,1,1
3191,4,3,3,5,4,4,4,1,1,0,0,1,0,1,1
3192,5,5,4,5,5,3,3,1,0,0,0,1,1,0,0
3193,4,1,2,5,4,4,5,0,1,1,0,0,1,0,1
3194,2,3,2,5,1,3,1,1,0,1,1,1,0,0,0
3195,5,4,5,1,2,4,4,0,1,1,0,1,1,0,0
3196,2,2,5,4,3,4,1,0,0,0,1,0,0,0,1
3197,4,3,5,1,1,5,3,1,1,1,0,1,1,1,0
3198,4,4,3,4,1,4,4,1,0,1,1,0,0,1,0
3199,4,1,5,5,1,5,3,1,1,0,1,0,1,1,1
3200,3,5,1,2,5,5,5,0,0,1,1,1,0,1,0
3201,1,5,1,4,4,1,4,0,1,0,1,0,1,0,0
3202,3,1,4,1,2,5,2,1,0,1,0,0,1,1,1
3203,1,3,3,5,2,1,4,0,1,0,0,0,0,0,0
3204,2,1,1,1,5,4,3,0,0,1,1,0,1,1,1
3205,2,2,3,1,5,2,3,1,1,0,1,1,1,1,0
3206,3,5,2,2,2,5,3,0,1,0,1,1,0,1,0
3207,3,5,1,5,5,4,5,0,0,0,0,0,0,0,0
3208,1,3,3,4,2,2,4,0,1,0,1,0,1,0,0
3209,3,2,5,2,5,1,2,0,1,1,0,0,1,0,1
3210,5,3,1,5,2,3,4,1,0,1,1,0,1,0,0
3211,2,4,4,1,1,3,3,1,0,0,1,1,0,1,0
3212,5,4,4,5,3,1,4,0,0,1,0,0,0,0,0
3213,3,5,2,4,5,1,3,0,1,1,0,0,1,1,0
3214,5,3,3,4,1,4,4,0,1,1,1,1,0,1,0
3215,4,1,1,5,3,4,3,0,0,1,1,1,1,0,1
3216,1,2,4,5,2,4,4,1,1,1,1,1,0,1,1
3217,3,5,5,2,3,2,4,0,1,1,0,1,1,1,1
3218,2,5,3,1,5,3,2,0,0,1,0,1,0,1,0
3219,4,1,4,2,3,2,5,0,0,1,0,1,0,0,0
3220,3,5,3,5,5,5,2,1,1,1,1,1,1,0,1
3221,2,5,5,5,3,3,2,1,1,1,0,0,1,0,1
3222,3,1,1,1,5,3,5,0,0,1,0,0,0,1,0
3223,3,5,5,5,3,5,5,0,1,1,1,1,1,1,1
3224,4,2,3,2,2,1,4,0,1,0,0,0,0,0,0
3225,2,1,5,4,3,3,2,1,0,0,0,1,0,1,1
3226,5,4,4,4,4,4,3,0,0,1,1,1,1,0,0
3227,4,1,1,1,1,5,4,0,0,1,1,0,1,1,1
3228,1,4,3,4,2,1,4,1,1,0,0,1,1,0,1
3229,5,4,3,2,1,1,2,0,0,1,0,1,1,0,0
3230,4,3,5,3,4,5,4,0,0,1,1,1,0,0,0
3231,1,5,1,1,5,4,3,1,1,0,0,0,1,0,0
3232,5,3,3,3,4,3,3,1,1,1,0,0,1,1,1
3233,3,5,2,4,2,3,3,0,1,1,1,1,1,0,1
3234,5,5,5,4,1,3,4,1,0,0,0,1,1,0,1
3235,3,4,4,1,3,4,1,0,1,1,0,0,0,0,1
3236,1,4,4,2,3,4,2,1,0,1,0,1,0,0,0
3237,1,3,3,2,3,3,2,0,0,1,1,0,0,0,1
3238,4,4,2,5,2,2,4,0,0,1,1,1,1,0,0
3239,3,3,4,3,1,3,2,1,0,1,1,0,0,0,0
3240,2,4,1,5,1,1,4,1,0,1,1,1,0,0,1
3241,3,1,2,5,5,5,1,1,1,0,0,0,1,0,0
3242,2,1,2,1,2,5,5,1,1,0,0,0,0,1,0
3243,5,1,1,1,1,1,2,0,0,0,0,1,1,0,1
3244,5,4,2,2,1,3,3,0,1,1,1,1,1,0,1
3245,5,4,2,5,3,1,3,1,1,1,1,1,1,1,1
3246,1,4,3,3,4,3,2,0,1,1,0,1,1,0,0
3247,3,3,1,3,3,1,1,1,0,0,1,0,0,0,1
3248,2,5,5,1,3,5,2,0,0,1,0,0,0,1,0
3249,3,1,2,3,3,2,3,0,1,1,1,0,1,0,1
3250,2,1,4,5,3,1,2,0,1,0,1,0,1,0,1
3251,1,3,5,5,4,4,1,0,1,1,0,0,1,0,1
3252,1,4,3,4,3,4,3,0,1,0,0,0,1,0,1
3253,4,3,4,4,2,3,4,1,0,0,1,1,1,0,0
3254,4,1,5,5,4,4,1,0,0,1,1,0,1,1,0
3255,2,2,1,3,1,5,4,0,1,1,0,0,0,1,1
3256,3,5,5,4,1,4,3,0,1,1,1,0,0,0,0
3257,1,3,1,2,1,4,1,0,1,1,0,1,0,0,1
3258,5,5,5,1,4,3,3,0,1,1,1,1,1,0,1
3259,1,1,3,4,3,5,4,0,0,1,1,0,0,1,1
3260,5,5,5,1,2,1,3,0,1,0,1,0,1,0,1
3261,5,1,4,3,3,1,3,0,0,0,1,0,0,1,0
3262,5,4,2,1,1,3,5,0,0,1,1,0,1,0,0
3263,2,3,5,3,1,4,1,1,1,0,1,0,0,0,0
3264,4,4,2,4,5,1,5,1,1,0,1,1,0,1,1
3265,4,5,2,5,5,2,5,1,0,1,1,1,0,0,0
3266,3,3,3,2,5,1,3,0,0,1,1,0,0,0,0
3267,5,2,3,1,1,4,5,0,1,0,1,0,1,1,1
3268,2,5,2,1,3,4,2,1,0,1,0,1,0,0,1
3269,4,1,4,3,3,3,2,0,1,1,0,1,0,1,0
3270,1,2,2,5,3,3,3,0,1,1,1,0,0,1,1
3271,4,3,1,2,2,3,2,0,0,0,1,0,0,0,1
3272,2,5,2,3,2,3,1,1,0,0,1,1,0,1,1
3273,2,1,3,1,3,5,2,1,0,0,0,0,0,0,1
3274,4,2,1,3,3,2,3,0,1,0,0,0,1,1,0
3275,5,2,3,5,2,2,3,0,1,0,1,0,1,1,0
3276,5,4,1,4,5,4,3,1,1,0,1,1,0,1,1
3277,3,5,3,5,3,4,3,0,1,1,1,0,1,1,0
3278,3,2,2,2,4,3,3,0,0,1,0,0,1,0,1
3279,1,2,5,3,1,3,4,0,1,0,0,1,0,1,1
3280,5,5,2,5,4,2,1,0,0,0,0,0,0,0,0
3281,1,2,5,4,3,2,1,0,0,0,1,1,0,1,0
3282,5,1,5,2,3,3,4,0,1,0,1,1,1,0,1
3283,4,5,3,5,4,3,4,0,1,1,1,0,1,0,0
3284,5,3,1,4,4,1,1,0,1,1,1,1,0,0,1
3285,3,2,2,5,5,3,5,1,0,1,0,1,0,1,0
3286,1,3,2,2,2,3,1,1,1,1,0,0,1,1,1
3287,1,1,3,3,1,1,2,1,1,1,0,0,0,1,1
3288,3,2,3,1,5,1,4,0,1,1,0,1,0,1,1
3289,4,1,4,3,1,2,1,1,0,0,0,0,1,0,1
3290,3,5,3,2,1,4,5,1,1,1,1,1,1,1,0
3291,5,4,3,1,2,2,2,1,1,0,0,0,0,0,0
3292,4,5,2,2,4,2,1,1,0,0,0,0,0,0,0
3293,2,4,5,3,1,5,2,1,0,0,1,0,1,0,1
3294,2,5,5,5,2,4,1,1,1,0,0,1,0,1,1
3295,2,3,3,5,2,3,2,1,1,0,0,0,1,1,0
3296,4,2,4,1,5,4,2,1,0,1,1,0,0,1,1
3297,3,2,2,2,5,1,4,0,1,1,0,0,0,0,0
3298,4,2,3,2,4,3,2,0,0,0,0,1,0,1,1
3299,5,1,3,1,1,4,5,1,1,1,0,0,1,1,0
3300,4,1,5,4,2,1,1,0,1,0,1,1,0,1,1
3301,2,2,5,2,5,3,5,0,1,0,1,0,0,0,0
3302,5,5,5,2,5,4,4,0,0,1,0,0,1,0,0
3303,1,5,3,5,5,5,3,1,0,0,0,0,0,0,1
3304,2,1,1,1,3,1,2,0,1,0,1,0,0,0,0
3305,4,3,4,3,4,5,2,1,0,0,1,1,1,0,0
3306,2,4,4,3,1,2,3,0,0,1,0,1,0,0,1
3307,4,2,5,3,5,4,4,0,0,1,1,1,1,0,1
3308,2,3,3,5,3,2,1,0,1,0,0,0,0,0,1
3309,3,5,4,3,5,2,2,1,1,0,1,1,0,0,1
3310,1,5,5,1,3,4,3,1,0,0,1,1,1,1,0
3311,5,2,4,3,5,2,4,1,1,1,0,0,1,0,0
3312,2,2,5,2,4,4,5,1,1,1,0,0,1,1,0
3313,1,1,4,2,2,1,1,0,1,1,1,1,0,1,0
3314,1,3,5,3,4,4,5,1,0,0,0,0,1,0,1
3315,1,3,3,1,4,2,5,1,1,0,1,0,0,0,1
3316,2,3,3,3,2,2,1,0,0,1,1,1,0,0,1
3317,3,5,5,2,1,2,1,1,0,1,0,1,1,1,1
3318,5,5,5,3,5,3,5,0,0,1,1,0,0,1,0
3319,1,1,1,3,2,2,1,1,1,0,1,0,1,1,0
3320,5,5,3,1,5,3,3,0,1,1,1,0,1,1,0
3321,1,3,2,1,2,1,4,0,0,0,0,0,1,1,1
3322,4,1,1,1,4,2,4,1,0,0,1,1,0,1,1
3323,3,2,4,3,1,5,5,0,0,1,1,0,0,0,1
3324,5,2,5,5,5,2,2,0,1,1,0,1,1,1,1
3325,3,1,4,2,1,2,3,0,0,1,0,1,1,1,0
3326,4,4,5,2,4,1,5,0,1,1,0,1,1,1,0
3327,3,5,4,5,5,4,5,1,0,1,0,1,1,1,1
3328,1,1,2,4,2,2,3,0,1,0,0,0,1,1,0
3329,3,3,3,1,5,1,5,0,0,1,0,1,1,1,0
3330,5,4,4,5,2,1,3,1,1,1,0,0,0,0,0
3331,3,1,3,4,3,5,4,1,1,0,1,0,1,0,0
3332,1,4,5,4,4,3,5,1,1,0,0,1,1,1,0
3333,4,4,3,1,1,2,1,1,1,0,0,0,1,1,1
3334,5,5,2,2,4,2,2,1,1,1,1,1,0,1,1
3335,4,3,5,3,1,2,4,0,0,0,1,1,1,0,1
3336,3,2,4,2,3,3,5,1,1,1,0,1,0,0,1
3337,5,1,3,5,5,1,2,0,0,1,1,0,1,1,1
3338,1,3,5,2,5,5,3,1,1,0,0,0,0,1,0
3339,4,3,4,4,4,2,1,0,1,0,1,0,1,0,1
3340,4,2,3,5,4,4,1,1,1,1,0,0,0,0,0
3341,2,3,1,4,2,2,5,1,1,1,1,0,1,1,0
3342,4,1,5,2,3,2,1,0,0,1,1,1,1,0,1
3343,1,5,4,1,5,4,4,0,1,1,0,1,1,0,0
3344,2,4,5,3,2,3,3,0,1,1,1,1,1,1,0
3345,2,1,4,5,2,3,3,0,1,1,1,0,1,1,0
3346,4,4,2,1,2,5,2,0,1,1,1,0,1,1,0
3347,3,5,2,3,4,2,2,1,1,0,0,0,0,0,1
3348,5,5,3,1,3,3,3,0,1,1,0,0,0,0,0
3349,3,4,5,1,3,3,2,0,1,1,0,0,1,0,0
3350,4,2,2,4,3,2,5,0,0,0,1,1,1,0,0
3351,3,2,5,5,3,5,1,0,1,1,1,0,1,0,0
3352,1,2,4,3,4,2,5,1,0,0,1,0,0,1,1
3353,5,4,2,2,2,5,4,1,1,0,0,1,0,0,0
3354,2,1,1,2,2,5,2,1,1,0,0,0,1,0,0
3355,1,1,2,2,1,1,2,1,0,0,0,0,0,1,1
3356,2,4,4,3,2,4,4,0,0,0,0,1,1,0,1
3357,2,2,5,3,4,4,3,1,1,0,1,0,1,1,0
3358,3,5,2,5,2,3,1,1,0,0,0,0,0,1,0
3359,5,2,3,2,3,1,2,1,1,1,1,1,1,1,0
3360,3,5,1,3,2,4,1,1,1,0,0,1,1,1,0
3361,4,1,3,1,5,3,2,1,0,1,0,1,1,1,1
3362,1,4,2,3,5,1,2,1,0,1,0,1,0,1,0
3363,4,5,5,4,5,5,4,1,0,0,1,0,1,1,1
3364,2,1,2,1,4,2,1,1,1,0,1,0,1,0,1
3365,3,2,1,2,4,3,4,1,1,0,0,1,1,1,1
3366,5,1,4,3,2,5,5,0,1,0,0,1,1,0,0
3367,2,4,4,3,5,3,5,1,1,0,1,0,1,0,0
3368,4,3,1,4,2,2,1,0,1,0,0,1,0,1,0
3369,1,2,3,3,3,1,5,0,1,1,0,1,1,1,0
3370,5,4,2,3,4,1,4,1,1,0,1,1,0,0,1
3371,4,2,1,2,5,4,5,0,1,0,1,0,0,1,1
3372,1,3,1,3,3,4,5,1,0,1,0,0,0,1,1
3373,3,1,4,1,5,4,1,0,1,0,0,0,1,0,0
3374,1,2,4,4,2,2,2,1,1,0,1,0,0,0,0
3375,5,3,3,1,5,5,1,1,1,0,0,0,1,0,0
3376,5,5,3,2,5,2,2,0,1,0,1,0,0,1,0
3377,5,5,1,2,5,3,1,0,0,1,0,0,1,0,0
3378,5,4,2,4,3,1,1,0,1,1,1,0,0,0,1
3379,2,2,5,2,4,3,4,0,1,0,1,1,1,1,1
3380,1,2,4,2,4,3,3,1,0,0,1,0,0,1,1
3381,5,1,3,3,5,3,1,0,1,0,1,1,0,1,0
3382,2,4,3,1,1,2,5,0,0,0,0,0,1,0,1
3383,3,4,2,3,1,3,2,0,0,1,0,0,1,0,0
3384,3,3,5,2,5,4,2,1,0,1,0,0,1,1,0
3385,3,3,3,2,5,5,5,1,1,0,0,0,1,1,1
3386,2,2,3,3,3,2,5,1,1,0,0,0,1,1,1
3387,5,3,4,2,1,3,3,1,0,0,0,0,1,1,0
3388,3,2,2,1,4,2,1,1,1,1,1,1,0,1,1
3389,1,3,4,1,3,4,4,1,0,0,0,0,1,0,1
3390,5,3,1,4,1,2,1,1,1,0,1,1,1,0,1
3391,1,5,1,5,4,5,2,1,1,1,1,0,1,0,0
3392,1,4,2,1,4,4,4,1,1,0,1,0,0,1,1
3393,1,4,1,3,4,1,5,1,0,1,0,0,0,1,1
3394,1,2,1,5,2,3,5,1,0,0,1,0,1,1,1
3395,2,1,4,1,4,2,1,1,1,1,1,1,0,1,1
3396,3,4,5,2,1,1,4,1,0,1,1,1,0,0,1
3397,1,2,5,5,2,5,3,0,0,1,0,1,1,1,1
3398,5,5,5,4,5,3,3,1,1,1,0,0,0,0,1
3399,4,3,2,3,5,4,4,1,1,1,0,0,0,0,1
3400,3,1,2,3,2,4,5,1,0,1,1,0,0,0,1
3401,5,2,3,5,1,4,2,0,1,1,0,0,1,0,1
3402,1,3,3,5,3,2,2,1,0,1,0,1,0,0,0
3403,4,1,5,2,1,5,1,0,0,0,1,0,0,0,1
3404,3,4,2,3,1,5,1,1,0,0,0,0,0,0,1
3405,4,1,3,1,1,4,3,1,1,0,1,0,1,1,0
3406,3,2,4,5,2,3,5,1,0,0,1,0,0,1,0
3407,5,3,1,5,4,4,4,1,0,1,1,1,1,0,1
3408,5,2,4,2,4,5,1,0,1,0,0,0,1,0,1
3409,4,3,4,2,3,2,3,1,1,0,1,1,1,1,1
3410,3,4,5,1,4,1,4,0,1,0,1,0,1,0,1
3411,4,1,1,3,3,1,2,1,0,0,0,0,1,0,1
3412,2,4,1,5,5,3,3,1,1,1,1,1,0,1,0
3413,2,4,1,4,1,2,1,1,1,1,1,0,1,0,0
3414,5,4,2,3,3,4,2,0,1,0,1,1,0,1,1
3415,2,1,2,3,1,2,4,1,1,0,0,1,0,1,1
3416,4,5,1,2,2,5,4,1,0,1,0,1,1,1,0
3417,3,4,5,2,5,2,2,1,0,0,0,1,1,0,1
3418,1,4,3,4,4,3,5,0,1,1,1,0,0,0,0
3419,1,5,2,3,2,1,5,1,1,0,0,0,0,0,0
3420,2,1,5,1,1,3,4,0,0,1,0,0,0,0,0
3421,1,1,2,5,3,2,1,0,1,1,0,0,1,0,0
3422,3,5,4,3,1,3,5,0,0,1,1,1,0,1,1
3423,4,5,5,4,4,5,1,1,0,0,1,1,1,1,1
3424,1,2,2,2,4,1,2,0,1,1,1,1,1,0,0
3425,3,2,4,4,4,5,5,1,0,0,0,1,0,0,1
3426,4,3,2,5,2,5,5,0,1,1,1,0,1,0,0
3427,1,1,1,2,1,2,3,0,1,0,1,0,1,1,0
3428,5,3,2,5,5,2,4,0,1,1,1,0,0,1,0
3429,4,5,4,1,5,2,4,1,1,1,0,0,0,1,0
3430,4,1,3,3,3,4,1,1,1,1,1,1,0,0,0
3431,5,1,5,4,2,4,3,0,0,1,0,1,0,0,0
3432,4,5,5,4,1,2,5,1,0,0,0,0,0,0,0
3433,1,3,1,1,2,5,3,1,0,0,1,0,0,1,0
3434,1,1,2,4,3,1,4,1,0,0,0,0,0,1,1
3435,2,4,5,2,4,2,1,1,0,0,1,1,1,1,0
3436,3,2,4,4,1,5,5,1,1,0,1,1,1,0,1
3437,2,4,2,5,4,5,5,0,0,0,1,1,1,0,0
3438,5,4,3,4,3,2,4,0,0,1,0,0,0,0,1
3439,1,2,3,3,5,3,3,0,0,0,0,0,0,0,1
3440,4,4,1,2,3,2,1,1,0,1,1,0,0,0,0
3441,2,4,2,1,4,2,3,1,1,0,0,0,0,0,1
3442,1,5,1,2,4,4,5,1,1,0,0,0,1,1,0
3443,1,4,2,2,5,1,1,0,0,1,0,1,0,0,1
3444,1,4,4,4,3,3,5,1,0,0,1,1,1,0,0
3445,2,1,3,5,2,1,5,1,1,0,0,0,1,1,1
3446,1,1,4,1,3,2,3,1,1,0,0,0,0,1,1
3447,2,3,4,3,5,3,1,1,0,1,0,1,1,1,0
3448,1,5,4,5,3,5,5,0,1,0,0,1,0,0,1
3449,1,3,4,3,5,3,3,1,1,0,1,1,1,0,0
3450,1,4,3,2,2,1,1,0,1,0,1,0,0,1,0
3451,1,3,5,3,4,1,1,1,0,1,0,0,1,0,0
3452,1,1,1,5,3,3,4,0,0,1,0,0,0,0,0
3453,5,3,1,3,5,1,3,0,0,1,1,0,1,0,1
3454,1,5,3,3,2,4,5,0,0,1,0,1,1,1,0
3455,4,4,1,3,1,3,1,0,1,0,1,0,0,1,0
3456,1,4,3,5,3,3,4,0,0,0,0,0,1,1,1
3457,3,2,3,2,4,3,5,0,0,1,0,1,1,1,0
3458,4,5,4,1,1,5,1,1,1,1,0,1,0,1,1
3459,4,1,4,3,2,2,4,1,0,1,1,0,0,0,1
3460,5,1,4,4,2,5,4,0,1,0,0,0,0,0,0
3461,5,1,2,2,5,3,4,0,0,0,0,1,1,0,1
3462,3,4,4,2,3,3,5,1,0,1,0,1,1,1,0
3463,2,3,5,2,1,2,5,0,1,1,0,0,1,0,0
3464,1,1,3,4,4,3,2,1,1,0,1,0,0,0,1
3465,4,3,4,4,2,2,5,1,0,0,1,1,0,0,1
3466,1,3,5,1,1,2,1,0,0,1,0,1,0,0,0
3467,4,3,3,3,1,1,2,1,0,0,0,1,0,1,1
3468,4,4,1,5,4,3,4,1,0,0,0,0,0,1,1
3469,5,1,5,4,4,5,5,0,0,1,1,1,1,1,0
3470,2,2,1,5,2,5,5,0,0,1,0,1,1,0,0
3471,4,4,2,2,2,4,1,1,1,1,0,0,1,1,1
3472,5,3,1,3,2,4,3,1,1,0,0,1,0,0,0
3473,1,3,3,4,2,1,3,0,0,1,1,0,1,1,0
3474,2,4,2,3,4,2,5,1,1,0,0,0,1,1,0
3475,5,1,1,1,5,3,4,1,0,1,0,0,0,1,1
3476,5,4,5,2,1,1,5,0,0,0,1,0,0,0,1
3477,5,3,2,5,4,2,4,1,1,0,1,0,1,0,0
3478,1,4,5,5,3,2,4,0,0,0,1,0,1,1,0
3479,5,3,1,1,1,4,3,0,0,1,0,0,1,1,0
3480,2,4,1,3,5,1,2,0,0,1,0,0,1,0,0
3481,4,5,3,1,4,4,5,0,0,1,0,0,1,0,1
3482,1,2,1,3,3,5,3,1,1,1,0,0,1,1,1
3483,2,2,5,3,4,4,5,0,0,1,0,0,0,0,0
3484,3,2,3,3,2,5,4,1,0,0,0,0,1,1,0
3485,3,2,3,4,1,3,5,0,0,0,1,0,0,0,1
3486,4,1,2,3,1,1,3,1,0,1,0,1,1,0,1
3487,1,5,2,1,4,4,1,0,0,0,0,1,0,0,0
3488,2,1,1,5,3,3,2,1,1,1,0,0,1,1,0
3489,4,2,3,3,1,4,3,0,1,0,0,1,0,0,1
3490,3,2,2,3,1,2,1,0,0,0,0,0,0,0,0
3491,4,5,5,3,2,1,2,1,1,1,0,0,0,1,0
3492,5,2,2,4,3,3,5,1,1,0,0,1,0,0,1
3493,5,3,4,3,1,4,1,0,0,0,0,0,1,1,0
3494,1,4,4,1,4,1,4,0,0,0,0,1,1,0,0
3495,4,2,3,1,5,5,1,1,1,0,0,1,1,1,0
3496,2,2,1,3,1,3,1,1,0,1,0,1,0,0,0
3497,2,4,1,4,1,2,1,1,0,0,1,0,0,0,0
3498,1,5,1,1,5,2,3,1,1,1,1,0,0,0,1
3499,5,2,1,1,4,3,1,1,1,1,0,0,0,0,0
3500,1,5,2,4,5,3,4,1,0,0,1,0,0,1,1
3501,4,1,1,1,5,1,4,1,1,1,0,1,1,1,1
3502,1,5,1,5,1,5,4,1,0,1,0,1,0,1,0
3503,4,3,2,1,5,1,2,0,1,1,1,0,0,1,0
3504,5,2,5,3,2,4,4,1,0,1,0,0,0,1,0
3505,1,1,1,4,4,5,4,0,1,1,0,0,0,0,1
3506,3,2,2,4,1,2,3,0,1,0,1,0,1,0,1
3507,1,5,4,5,3,3,4,0,0,1,1,0,1,1,0
3508,3,4,4,4,4,5,5,1,0,0,0,0,1,0,1
3509,1,5,2,2,5,4,3,1,1,1,1,1,0,0,0
3510,4,4,3,2,3,1,4,0,1,0,1,0,1,0,0
3511,4,2,2,3,1,3,4,1,1,1,1,1,1,0,1
3512,3,5,5,2,1,4,5,1,1,1,0,0,1,1,0
3513,4,2,5,4,5,3,4,0,1,1,1,0,0,0,1
3514,2,1,1,1,2,5,4,0,0,0,1,0,0,1,0
3515,4,5,5,1,4,3,1,0,0,1,0,1,1,1,1
3516,3,4,4,5,4,5,2,0,0,1,0,1,1,0,1
3517,4,3,3,2,5,2,4,0,0,0,0,1,0,0,1
3518,4,2,5,5,3,5,4,0,1,0,1,1,1,1,1
3519,1,1,2,1,1,5,3,0,0,0,0,0,0,0,1
3520,3,4,3,1,5,2,5,1,1,1,0,0,1,0,1
3521,1,5,4,4,3,3,1,1,0,0,1,1,1,1,0
3522,3,4,1,1,1,4,1,1,1,1,0,1,0,1,0
3523,5,4,5,5,1,5,4,0,0,0,1,1,1,0,1
3524,1,3,4,4,3,4,3,0,1,1,1,0,1,1,0
3525,4,5,4,3,2,1,5,0,0,0,0,1,0,1,0
3526,2,1,2,5,2,5,2,0,0,1,1,0,0,0,1
3527,5,4,3,2,3,4,5,1,1,1,0,0,1,1,1
3528,5,5,1,3,5,1,2,0,0,1,1,0,1,1,1
3529,3,5,3,1,2,4,4,1,1,1,1,1,1,0,0
3530,4,5,5,4,4,5,4,1,1,1,1,0,0,0,1
3531,2,3,3,4,1,1,4,1,1,0,1,1,1,1,1
3532,2,1,3,3,1,2,2,0,1,1,0,0,1,1,1
3533,3,4,4,1,4,5,4,0,0,1,0,1,0,0,0
3534,3,3,4,3,1,5,1,1,0,0,0,1,0,1,0
3535,4,1,4,2,1,5,4,1,0,1,0,0,1,1,0
3536,4,5,2,5,3,2,1,1,1,0,0,0,1,0,1
3537,5,5,3,1,5,3,5,1,1,0,0,1,0,0,1
3538,5,5,3,5,1,1,3,1,1,1,1,1,1,0,1
3539,4,2,1,5,1,3,4,1,1,1,0,1,1,1,1
3540,5,5,3,3,2,4,5,0,1,1,1,0,1,1,1
3541,5,3,4,5,1,5,2,1,0,0,1,0,1,0,0
3542,1,4,3,2,5,4,5,1,1,1,0,1,0,1,1
3543,4,5,2,1,4,1,2,0,0,0,1,0,1,1,1
3544,3,1,1,2,1,3,4,0,0,0,1,1,1,0,1
3545,2,3,1,5,1,1,3,0,1,0,0,1,1,1,1
3546,4,1,2,5,4,3,4,1,1,1,0,0,0,0,0
3547,5,2,2,3,4,1,5,0,0,1,0,1,1,1,1
3548,2,1,4,1,1,4,3,0,0,0,1,1,1,1,1
3549,1,1,2,4,1,5,1,0,0,0,0,0,1,1,0
3550,2,5,5,4,1,5,5,0,0,1,0,0,0,1,0
3551,5,4,3,4,5,5,1,1,0,1,1,0,0,0,0
3552,1,4,1,1,4,3,1,0,0,1,1,1,0,0,0
3553,5,5,3,1,3,5,4,1,0,1,0,1,1,0,1
3554,4,5,2,5,5,5,2,0,0,1,0,0,0,1,0
3555,2,2,3,4,1,1,2,1,0,0,0,1,0,1,1
3556,4,1,5,4,4,5,2,0,0,1,0,0,0,1,0
3557,2,5,1,2,1,3,5,0,1,1,0,1,0,0,1
3558,2,3,1,3,2,3,5,1,0,0,1,0,0,1,1
3559,4,1,4,1,2,1,3,0,1,1,0,0,0,0,1
3560,1,1,2,1,3,4,4,0,1,1,1,0,1,1,0
3561,2,5,5,1,5,2,2,1,0,0,1,1,1,1,1
3562,5,1,3,1,1,3,5,0,1,1,1,1,0,0,0
3563,1,3,1,1,1,4,3,0,1,1,0,1,0,0,0
3564,2,5,3,4,5,1,5,0,1,1,1,0,1,0,1
3565,1,3,2,5,2,3,1,1,0,0,0,0,0,0,1
3566,4,4,2,1,5,2,5,1,1,1,0,1,0,0,1
3567,2,2,2,4,2,5,3,0,0,1,1,1,1,0,0
3568,5,2,4,5,3,3,2,1,1,0,1,1,1,0,1
3569,5,3,2,2,2,2,1,1,0,1,1,1,1,0,0
3570,2,2,1,5,5,5,2,0,1,0,0,0,1,1,0
3571,2,1,2,3,2,4,1,1,1,0,1,0,1,0,1
3572,1,1,4,2,1,3,3,1,0,1,0,1,0,1,1
3573,2,5,2,2,2,5,4,0,0,1,1,0,0,0,0
3574,2,2,4,1,3,2,3,1,0,0,0,0,0,0,0
3575,3,2,1,5,3,2,5,0,1,1,0,0,1,0,0
3576,3,4,3,2,4,4,5,0,0,0,1,0,0,1,1
3577,1,4,5,3,2,3,4,1,0,0,0,0,0,0,0
3578,1,3,1,5,3,1,5,1,1,1,1,0,0,0,1
3579,2,2,3,5,4,4,3,1,1,1,1,0,0,0,0
3580,2,3,4,3,2,4,4,1,1,0,1,1,1,0,1
3581,1,1,5,2,4,5,3,1,0,0,1,1,1,0,1
3582,4,1,1,4,3,4,2,0,1,1,0,0,0,1,0
3583,2,3,2,5,1,5,4,0,1,1,1,0,0,0,1
3584,4,3,4,1,5,2,5,0,0,1,1,1,0,0,0
3585,4,5,3,1,2,1,3,0,0,0,0,1,1,1,0
3586,3,1,5,4,3,5,3,0,0,0,1,1,0,0,1
3587,5,4,2,5,3,2,2,0,1,1,1,0,1,1,0
3588,5,2,2,2,4,4,3,1,1,0,0,1,0,0,0
3589,3,5,1,5,1,1,1,0,0,1,0,1,0,1,1
3590,5,2,3,4,1,1,3,1,1,1,1,0,0,1,0
3591,3,5,3,4,5,5,1,0,0,0,1,0,1,1,0
3592,5,5,4,1,5,5,2,1,0,0,0,0,1,1,1
